,,,,,,,,,,,,,,
Months,Max Tempt 2019,Min Tempt 2019,Max Tempt 2020,Min Tempt 2020,Max Tempt 2021,Min Tempt 2021,Rainfall 2019,Rainfall 2020,Rainfall 2021,Varieties of Crops grown,,,,
January,31.11,30.6,30.71,16.16,17.75,16.84,67.85,77.92,77.29,"Kales,spinach,lettuce,Dodo",,,,
February,31.91,30.33,30.01,18.15,16.63,16.49,81.13,61.76,78.78,"Kales,spinach,lettuce,Dodo",,,,
March,30.96,29.89,30.34,18.09,18.11,17.35,137.45,126.54,115.49,"Kales,spinach,lettuce,Dodo",,,,
April,29.86,28.12,29.32,18.58,17.17,18.07,140.86,162.75,129.93,"Cassava,Beans,Maize,Soyabeans",,,,
May,27.43,28.93,28.69,16.33,17.98,17.8,156.44,121.93,207.38,"Sorghum, Sunflower,Groundnuts",,,,
June,27.81,28.35,28.38,17.41,17.17,17.08,115.27,90.89,48.52,"Sweet Potatoes,Rice,Maize,Simsim",,,,
July,28.57,28.48,27.95,17.31,17.23,16.73,110.35,184.42,102.14,"Sunflower,Simsim,Millet,Sweet Potatoes",,,,
August,29.13,28.55,28.41,17.29,17.27,16.67,116.54,166.52,88.48,"Sunflower,Maize,Sweet Potatoes",,,,
September,29.11,29.17,28.79,17.32,17.54,17.34,97.79,128.83,163.06,"Sunflower,Green Peas",,,,
October,29,29.63,29.61,17.04,18.25,17.38,282.29,170.92,130.9,"Kales,spinach,lettuce,Dodo",,,,
November,29.3,29.24,30.01,17.04,17.57,17,147.78,120.32,172.03,"Kales,spinach,lettuce,Dodo",,,,
December,29.07,30.2,29.87,16.89,17.24,16.92,147.29,62.05,67.34,"Kales,spinach,lettuce,Dodo",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
